run,model,version,step,epoch,loss,learning_rate,source
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1150,0.16457960644007155,1.9405,5.47925608011445e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1160,0.16601073345259393,1.848,5.526943252265141e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1170,0.16744186046511628,1.7187,5.574630424415832e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1180,0.16887298747763865,1.7992,5.622317596566524e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1190,0.170304114490161,1.8551,5.670004768717215e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1200,0.17173524150268335,1.6508,5.717691940867906e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1210,0.17316636851520573,1.626,5.7653791130185985e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1220,0.17459749552772807,1.9677,5.8130662851692894e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1230,0.17602862254025045,1.7043,5.860753457319981e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1240,0.1774597495527728,1.868,5.9084406294706726e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1250,0.17889087656529518,1.7313,5.956127801621364e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1260,0.18032200357781752,1.9652,6.0038149737720565e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1270,0.1817531305903399,1.8621,6.0515021459227474e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1280,0.18318425760286225,1.927,6.099189318073438e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1290,0.18461538461538463,1.797,6.14687649022413e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1300,0.18604651162790697,1.7512,6.194563662374822e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1310,0.18747763864042935,1.8189,6.242250834525512e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1320,0.1889087656529517,1.949,6.289938006676205e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1330,0.19033989266547405,1.7513,6.337625178826896e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1340,0.19177101967799642,1.662,6.385312350977587e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1350,0.19320214669051877,1.7219,6.432999523128279e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1360,0.19463327370304115,1.7565,6.48068669527897e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1370,0.1960644007155635,1.7156,6.528373867429661e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1380,0.19749552772808587,1.8719,6.576061039580353e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1390,0.19892665474060822,1.7011,6.623748211731044e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1400,0.2003577817531306,1.8472,6.671435383881736e-05,final trainer_log.jsonl
